FpML Index Name (floating rate+inflation index),FPML index alias in Moss,LCH Scenario Index Name,CME Scenario Index Name,CCP Scenario Index Name,,Traiana ScenarioFile Index  pool (LCH Dec. 2017),Currency,LCH Scenario Index Name,Default CCP Index
AUD-AONIA-OIS-COMPOUND, AUD-AONIA,AONIA,,,,AONIA,AUD,,
AUD-AONIA-OIS-COMPOUND-SwapMarker, AUD-AONIA,AONIA,,,,BBSW,,AONIA,
AUD-BBR-AUBBSW, AUD-BBSW,BBSW,,,,BKBM,,BBSW,BBSW
AUD-BBR-BBSW, AUD-BBSW,BBSW,,,,BUBOR,CAD,,
AUD-BBR-BBSW-Bloomberg, AUD-BBSW,BBSW,,,,CDOR,,CDOR,CDOR
AUD-BBR-BBSY (BID), AUD-BBSW,BBSW,,,,CIBOR,,CORRA,
AUD-BBR-ISDC, AUD-BBSW,BBSW,,,,CORRA,CHF,,
BRL-CDI, BRL-CDI,,,,,EONIA,,LIBOR,LIBOR
CAD-BA-CDOR, CAD-CDOR,CDOR,,,,EUR-EXT-CPI,,SARON,
CAD-BA-CDOR-Bloomberg, CAD-CDOR,CDOR,,,,EURIBOR,CZK,,
CAD-CORRA-OIS-COMPOUND, CAD-CORRA,CORRA,,,,FEDFUND,,PRIBOR,PRIBOR
CHF-LIBOR-BBA, CHF-LIBOR,LIBOR,,,,FRC-EXT-CPI,DKK,,
CHF-LIBOR-BBA-Bloomberg, CHF-LIBOR,LIBOR,,,,HIBOR,,CIBOR,CIBOR
CHF-LIBOR-ISDA, CHF-LIBOR,LIBOR,,,,JIBAR,EUR,,
CHF-LIBOR-Reference Banks, CHF-LIBOR,LIBOR,,,,LIBOR,,EONIA,
CHF-TOIS-OIS-COMPOUND, CHF-TOIS,LIBOR,,,,NIBOR,,EUR-EXT-CPI,
CZK-PRIBOR-PRBO, CZK-PRIBOR,PRIBOR,,,,PRIBOR,,EURIBOR,EURIBOR
CZK-PRIBOR-Reference Banks, CZK-PRIBOR,PRIBOR,,,,SARON,,FRC-EXT-CPI,
DKK-CIBOR-DKNA13, DKK-CIBOR,CIBOR,,,,SONIA,,STIR-FUT,
DKK-CIBOR-DKNA13-Bloomberg, DKK-CIBOR,CIBOR,,,,SOR,GBP,,
DKK-CIBOR-Reference Banks, DKK-CIBOR,CIBOR,,,,STIBOR,,LIBOR,LIBOR
DKK-CIBOR2-DKNA13, DKK-CIBOR,CIBOR,,,,STIR-FUT,,SONIA,
DKK-CIBOR2-Bloomberg, DKK-CIBOR,CIBOR,,,,TIIE,,STIR-FUT,
EUR-EONIA-OIS-COMPOUND, EUR-EONIA,EONIA,,,,TONA,,UK-RPI,
EUR-EONIA-OIS-COMPOUND-Bloomberg, EUR-EONIA,EONIA,,,,UK-RPI,HKD,,
EUR-EONIA-AVERAGE, EUR-EONIA,EONIA,,,,USA-CPI-U,,HIBOR,HIBOR
EUR-EONIA-OIS-10:00-BGCANTOR, EUR-EONIA,EONIA,,,,WIBOR,HUF,,
EUR-EONIA-OIS-10:00-ICAP, EUR-EONIA,EONIA,,,,,,BUBOR,BUBOR
EUR-EONIA-OIS-10:00-TRADITION, EUR-EONIA,EONIA,,,,,JPY,,
EUR-EONIA-OIS-11:00-ICAP, EUR-EONIA123,EONIA,,,,,,LIBOR,LIBOR
EUR-EONIA-OIS-4:15-TRADITION, EUR-EONIA,EONIA,,,,,,TONA,
EUR-EONIA-Swap-Index, EUR-EONIA,EONIA,,,,,MXN,,
EUR-EURIBOR-Act/365, EUR-EURIBOR,EURIBOR,,,,,,TIIE,TIIE
EUR-EURIBOR-Act/365-Bloomberg, EUR-EURIBOR,EURIBOR,,,,,NOK,,
EUR-EURIBOR-Reference Banks, EUR-EURIBOR,EURIBOR,,,,,,NIBOR,NIBOR
EUR-EURIBOR-Reuters, EUR-EURIBOR,EURIBOR,,,,,NZD,,
EUR-EURIBOR-Telerate, EUR-EURIBOR,EURIBOR,,,,,,BKBM,BKBM
EUR-LIBOR-BBA, EUR-LIBOR,LIBOR,,,,,PLN,,
EUR-LIBOR-BBA-Bloomberg, EUR-LIBOR,LIBOR,,,,,,WIBOR,WIBOR
EUR-LIBOR-Reference Banks, EUR-LIBOR,LIBOR,,,,,SEK,,
GBP-LIBOR-BBA, GBP-LIBOR,LIBOR,,,,,,STIBOR,STIBOR
GBP-LIBOR-BBA-Bloomberg, GBP-LIBOR,LIBOR,,,,,SGD,,
GBP-LIBOR-ISDA, GBP-LIBOR,LIBOR,,,,,,SOR,SOR
GBP-LIBOR-Reference Banks, GBP-LIBOR,LIBOR,,,,,USD,,
GBP-SONIA-OIS-11:00-ICAP, GBP-SONIA,SONIA,,,,,,FEDFUND,
GBP-SONIA-OIS-11:00-TRADITION, GBP-SONIA,SONIA,,,,,,LIBOR,LIBOR
GBP-SONIA-OIS-4:15-TRADITION, GBP-SONIA,SONIA,,,,,,USA-CPI-U,
HUF-BUBOR-Reference Banks, HUF-BUBOR,BUBOR,,,,,ZAR,,
HUF-BUBOR-Reuters, HUF-BUBOR,BUBOR,,,,,,JIBAR,JIBAR
JPY-LIBOR-BBA, JPY-LIBOR,LIBOR,,,,,,,
JPY-LIBOR-BBA-Bloomberg, JPY-LIBOR,LIBOR,,,,,INR,,
JPY-LIBOR-FRASETT, JPY-LIBOR,LIBOR,,,,,,,
JPY-LIBOR-ISDA, JPY-LIBOR,LIBOR,,,,,,,
JPY-LIBOR-Reference Banks, JPY-LIBOR,LIBOR,,,,,KRW,,
JPY-TIBOR-TIBM, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-TIBM (5 Banks), JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-TIBM (10 Banks), JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-TIBM (All Banks), JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-TIBM (All Banks)-Bloomberg, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-TIBM-Reference Banks, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-17096, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-17097, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-ZTIBOR, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TIBOR-DTIBOR01, JPY-TIBOR-JAPAN,LIBOR,,,,,,,
JPY-TONA-OIS-COMPOUND, JPY-TONAR,TONA,,,,,,,
MXN-TIIE-Banxico, MXN-TIIE,TIIE,,,,,,,
MXN-TIIE-Banxico-Bloomberg, MXN-TIIE,TIIE,,,,,,,
MXN-TIIE-Banxico-Reference Banks, MXN-TIIE,TIIE,,,,,,,
NOK-NIBOR-NIBR, NOK-NIBOR,NIBOR,,,,,,,
NOK-NIBOR-NIBR-Reference Banks, NOK-NIBOR,NIBOR,,,,,,,
NOK-NIBOR-Reference Banks, NOK-NIBOR,NIBOR,,,,,,,
NOK-NIBOR-OIBOR, NOK-NIBOR,NIBOR,,,,,,,
PLN-POLONIA-OIS-COMPOUND, PLN-POLONIA,WIBOR,,,,,,,
PLN-WIBOR-Reference Banks, PLN-WIBOR,WIBOR,,,,,,,
PLN-WIBOR-WIBO, PLN-WIBOR,WIBOR,,,,,,,
SEK-SIOR-OIS-COMPOUND, SEK-SIOR,STIBOR,,,,,,,
SEK-STIBOR-Bloomberg, SEK-STIBOR,STIBOR,,,,,,,
SEK-STIBOR-Reference Banks, SEK-STIBOR,STIBOR,,,,,,,
SEK-STIBOR-SIDE, SEK-STIBOR,STIBOR,,,,,,,
USD-Federal Funds-H.15-OIS-COMPOUND, USD-FED-FUND,FEDFUND,,,,,,,
USD-Federal Funds-H.15, USD-FED-FUND-AVG,FEDFUND,,,,,,,
USD-Federal Funds-H.15-Bloomberg, USD-FED-FUND-AVG,FEDFUND,,,,,,,
USD-Federal Funds-Reference Dealers, USD-FED-FUND-AVG,FEDFUND,,,,,,,
USD-LIBOR-BBA, USD-LIBOR,LIBOR,,,,,,,
USD-LIBOR-BBA-Bloomberg, USD-LIBOR,LIBOR,,,,,,,
USD-LIBOR-ISDA, USD-LIBOR,LIBOR,,,,,,,
USD-LIBOR-LIBO, USD-LIBOR,LIBOR,,,,,,,
USD-LIBOR-Reference Banks, USD-LIBOR,LIBOR,,,,,,,
ZAR-JIBAR-Reference Banks, ZAR-JIBAR,JIBAR,,,,,,,
ZAR-JIBAR-SAFEX, ZAR-JIBAR,JIBAR,,,,,,,
AUD-LIBOR-BBA,AUD-BBSW,LIBOR,,,,,,,
AUD-LIBOR-BBA-Bloomberg,AUD-BBSW,LIBOR,,,,,,,
AUD-LIBOR-Reference Banks,AUD-BBSW,LIBOR,,,,,,,
EUR-EXT-CPI,EU-EXT-CPI,EUR-EXT-CPI,,,,,,,
FRC-HICP,FRC-HICP,FRC-EXT-CPI,,,,,,,
FRC-EXT-CPI,FR-EXT-CPI,FRC-EXT-CPI,,,,,,,
GBP-WMBA-SONIA-COMPOUND,GBP-SONIA,SONIA,,,,,,,
UK-RPI,GB-RPI,UK-RPI,,,,,,,
HKD-HIBOR-HKAB,HKD-HIBOR-HKAB,HIBOR,,,,,,,
INR-MIBOR-OIS-COMPOUND,INR-MIBOR,,,,,,,,
KRW-CD-KSDA-Bloomberg,KRW-CD-KSDA,,,,,,,,
PLZ-WIBOR-Reference Banks,PLN-WIBOR,WIBOR,,,,,,,
PLZ-WIBOR-WIBO,PLN-WIBOR,WIBOR,,,,,,,
SGD-SOR-VWAP,SGD-SOR-VWAP,SOR,,,,,,,
USA-CPI-U,US-CPI-U,USA-CPI-U,,,,,,,
CAD-REPO-CORRA,,CORRA,,,,,,,
EUR-EXT-R-CPI,,EUR-EXT-CPI,,,,,,,
EUR-3M EURIBOR SWAP-CME vs LCH-ICAP,,EURIBOR,,,,,,,
EUR-3M EURIBOR SWAP-CME vs LCH-ICAP-Bloomberg,,EURIBOR,,,,,,,
EUR-3M EURIBOR SWAP-EUREX vs LCH-ICAP,,EURIBOR,,,,,,,
EUR-3M EURIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,,EURIBOR,,,,,,,
EUR-6M EURIBOR SWAP-CME vs LCH-ICAP,,EURIBOR,,,,,,,
EUR-6M EURIBOR SWAP-CME vs LCH-ICAP-Bloomberg,,EURIBOR,,,,,,,
EUR-6M EURIBOR SWAP-EUREX vs LCH-ICAP,,EURIBOR,,,,,,,
EUR-6M EURIBOR SWAP-EUREX vs LCH-ICAP-Bloomberg,,EURIBOR,,,,,,,
EUR EURIBOR-Annual Bond Swap vs 1m-11:00-ICAP,,EURIBOR,,,,,,,
EUR EURIBOR-Basis Swap-1m vs 3m-Euribor-11:00-ICAP,,EURIBOR,,,,,,,
EUR EURIBOR-Basis Swap-3m vs 6m-11:00-ICAP,,EURIBOR,,,,,,,
EUR-ISDA-EURIBOR Swap Rate-11:00,,EURIBOR,,,,,,,
EUR-ISDA-EURIBOR Swap Rate-12:00,,EURIBOR,,,,,,,
CNH-HIBOR-Reference Banks,,HIBOR,,,,,,,
CNH-HIBOR-TMA,,HIBOR,,,,,,,
HKD-HIBOR-HIBOR,,HIBOR,,,,,,,
HKD-HIBOR-HIBOR-Bloomberg,,HIBOR,,,,,,,
HKD-HIBOR-HKAB-Bloomberg,,HIBOR,,,,,,,
HKD-HIBOR-ISDC,,HIBOR,,,,,,,
HKD-HIBOR-Reference Banks,,HIBOR,,,,,,,
CAD-LIBOR-BBA,,LIBOR,,,,,,,
CAD-LIBOR-BBA-Bloomberg,,LIBOR,,,,,,,
CAD-LIBOR-BBA-SwapMarker,,LIBOR,,,,,,,
CAD-LIBOR-Reference Banks,,LIBOR,,,,,,,
JPY-Quoting Banks-LIBOR,,LIBOR,,,,,,,
MYR-KLIBOR-BNM,,LIBOR,,,,,,,
MYR-KLIBOR-Reference Banks,,LIBOR,,,,,,,
USD-Municipal Swap Libor Ratio-11:00-ICAP,,LIBOR,,,,,,,
CHF-SARON-OIS-COMPOUND,,SARON,,,,,,,
IDR-SOR-Reference Banks,,SOR,,,,,,,
IDR-SOR-Reuters,,SOR,,,,,,,
IDR-SOR-Telerate,,SOR,,,,,,,
SGD-SOR-Reference Banks,,SOR,,,,,,,
SGD-SOR-Reuters,,SOR,,,,,,,
SGD-SOR-Telerate,,SOR,,,,,,,
SGD-SOR-VWAP-Reference Banks,,SOR,,,,,,,
THB-SOR-Reference Banks,,SOR,,,,,,,
THB-SOR-Reuters,,SOR,,,,,,,
THB-SOR-Telerate,,SOR,,,,,,,
DKK-DKKOIS-OIS-COMPOUND,,,,,,,,,
AED-EBOR-Reuters,,,,,,,,,
AUD-Quarterly Swap Rate-ICAP,,,,,,,,,
AUD-Quarterly Swap Rate-ICAP-Reference Banks,,,,,,,,,
AUD-Semi-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
AUD-Semi-Annual Swap Rate-BGCANTOR-Reference Banks,,,,,,,,,
AUD-Semi-annual Swap Rate-ICAP,,,,,,,,,
AUD-Semi-Annual Swap Rate-ICAP-Reference Banks,,,,,,,,,
AUD-Swap Rate-Reuters,,,,,,,,,
CAD-BA-ISDD,,,,,,,,,
CAD-BA-Reference Banks,,,,,,,,,
CAD-BA-Reuters,,,,,,,,,
CAD-BA-Telerate,,,,,,,,,
CAD-ISDA-Swap Rate,,,,,,,,,
CAD-TBILL-ISDD,,,,,,,,,
CAD-TBILL-Reference Banks,,,,,,,,,
CAD-TBILL-Reuters,,,,,,,,,
CAD-TBILL-Telerate,,,,,,,,,
CHF-Annual Swap Rate,,,,,,,,,
CHF-Annual Swap Rate-11:00-ICAP,,,,,,,,,
CHF-Annual Swap Rate-Reference Banks,,,,,,,,,
CHF-ISDAFIX-Swap Rate,,,,,,,,,
CHF-OIS-11:00-ICAP,,,,,,,,,
CHF USD-Basis Swaps-11:00-ICAP,,,,,,,,,
CL-CLICP-Bloomberg,,,,,,,,,
CNY 7-Repo Compounding Date,,,,,,,,,
CNY-CNREPOFIX=CFXS-Reuters,,,,,,,,,
CNY-PBOCB-Reuters,,,,,,,,,
CNY-Quarterly 7 day Repo Non Deliverable Swap Rate-TRADITION,,,,,,,,,
CNY-Quarterly 7 day Repo Non Deliverable Swap Rate-TRADITION-Reference Banks,,,,,,,,,
CNY-Semi-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
CNY-Semi-Annual Swap Rate-Reference Banks,,,,,,,,,
CNY-Shibor-OIS-Compounding,,,,,,,,,
CNY-SHIBOR-Reuters,,,,,,,,,
COP-IBR-OIS-COMPOUND,,,,,,,,,
CZK-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
CZK-Annual Swap Rate-Reference Banks,,,,,,,,,
DKK-CITA-DKNA14-COMPOUND,,,,,,,,,
EUR-Annual Swap Rate-10:00,,,,,,,,,
EUR-Annual Swap Rate-10:00-BGCANTOR,,,,,,,,,
EUR-Annual Swap Rate-10:00-Bloomberg,,,,,,,,,
EUR-Annual Swap Rate-10:00-ICAP,,,,,,,,,
EUR-Annual Swap Rate-10:00-SwapMarker,,,,,,,,,
EUR-Annual Swap Rate-10:00-TRADITION,,,,,,,,,
EUR-Annual Swap Rate-11:00,,,,,,,,,
EUR-Annual Swap Rate-11:00-Bloomberg,,,,,,,,,
EUR-Annual Swap Rate-11:00-ICAP,,,,,,,,,
EUR-Annual Swap Rate-11:00-SwapMarker,,,,,,,,,
